"TIME","GEO","S_ADJ","AGE","SEX","Value"
"1998Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.9"
"1998Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.8"
"1998Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.6"
"1998Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.5"
"1999Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.2"
"1999Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.0"
"1999Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.8"
"1999Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.6"
"2000Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.4"
"2000Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.1"
"2000Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.8"
"2000Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.6"
"2001Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.4"
"2001Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.4"
"2001Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.4"
"2001Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.5"
"2002Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.6"
"2002Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.7"
"2002Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.8"
"2002Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.9"
"2003Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.0"
"2003Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.1"
"2003Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.1"
"2003Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.1"
"2004Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.2"
"2004Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.2"
"2004Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.3"
"2004Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.3"
"2005Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.3"
"2005Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.3"
"2005Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.2"
"2005Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.2"
"2006Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.0"
"2006Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.8"
"2006Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.7"
"2006Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.3"
"2007Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.1"
"2007Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.0"
"2007Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","6.9"
"2008Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","6.8"
"2008Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.0"
"2008Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.2"
"2008Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","7.7"
"2009Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","8.5"
"2009Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.0"
"2009Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.3"
"2009Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.4"
"2010Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.5"
"2010Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.6"
"2010Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.5"
"2010Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.5"
"2011Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.4"
"2011Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.4"
"2011Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","9.7"
"2011Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.0"
"2012Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.2"
"2012Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.5"
"2012Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.7"
"2012Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.9"
"2013Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","11.1"
"2013Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","11.1"
"2013Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","11.0"
"2013Q4","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.9"
"2014Q1","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.7"
"2014Q2","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.5"
"2014Q3","European Union (15 countries)","Seasonally adjusted data","Total","Total","10.4"
"1995Q1","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","11.0"
"1995Q2","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18)","Seasonally adjusted data","Total","Total","10.9"
